AnoReferencia;NomeMunicipio;NomeUnidadeEscolar;MatriculasTotal;MatriculaInicial;MatriculaAposCenso;Transferidos;Cancelados;Falecido;Abandono;Aprovados;Reprovados;Cursando;OutrasSituacoes
2019;Tres Lagoas;EE EDWARDS CORRÊA E SOUZA;1266;1228;38;176;19;0;0;295;164;612;0
2019;Tres Lagoas;EE EDWARDS CORRÊA E SOUZA - EXTENSÃO ESTABELECIMENTO PENAL MASCULINO DE TRÊS LAGOAS;94;94;0;3;25;0;0;0;0;62;4
2019;Tres Lagoas;EE EDWARDS CORRÊA E SOUZA -EXTENSÃO COLÔNIA PENAL INDUSTRIAL PARACELSO DE LIMA VIEIRA JESUS;91;91;0;11;27;0;0;0;0;53;0
2019;Tres Lagoas;EE EDWARDS CORRÊA E SOUZA -EXTENSÃO ESTABELECIMENTO PENAL FEMININO DE TRÊS LAGOAS;27;27;0;2;7;0;0;0;0;18;0
2019;Tres Lagoas;EE EDWARDS CORRÊA E SOUZA -EXTENSÃO UNIDADE EDUCACIONAL DE INTERNAÇÃO -UNEI AURORA GONÇALVES COIMBRA;29;25;4;5;0;0;0;0;0;24;0
2019;Deodapolis;EE EDWIRGES COELHO DERZI;367;356;11;75;2;0;0;0;0;290;0
2019;Eldorado;EE ELDORADO;1029;1015;14;80;9;0;0;0;0;935;5
2019;Campo Grande;EE ELVIRA MATHIAS DE OLIVEIRA;803;782;21;96;48;0;0;146;91;422;0
2019;Vicentina;EE EMANNUEL PINHEIRO;199;192;7;19;0;0;0;48;7;125;0
2019;Coronel Sapucaia;EE ENEIL VARGAS;1211;1131;80;115;4;1;0;0;0;1091;0
2019;Aparecida do Taboado;EE ERNESTO RODRIGUES;1626;1448;178;66;25;0;0;218;22;1295;0
2019;Bandeirantes;EE ERNESTO SOLON BORGES;835;555;280;84;52;1;0;34;13;651;0
2019;Dois Irmaos do Buriti;EE ESTEFANA CENTURION GAMBARRA;738;717;21;108;10;0;29;45;1;545;0
2019;Dois Irmaos do Buriti;EE ESTEFANA CENTURION GAMBARRA - EXTENSÃO ASSENTAMENTO MARCOS FREIRE;32;31;1;2;0;0;0;0;0;30;0
2019;Dois Irmaos do Buriti;EE ESTEFANA CENTURION GAMBARRA-EXTENSÃO ESTABELECIMENTO PENAL DE DOIS IRMÃOS DO BURITI;92;92;0;1;51;0;0;34;6;0;0
2019;Bela Vista;EE ESTER SILVA;418;405;13;60;10;0;0;0;0;348;0
2019;Rio Brilhante;EE ETALÍVIO PEREIRA MARTINS;1079;1039;40;108;9;0;0;0;0;959;3
2019;Rio Brilhante;EE ETALÍVIO PEREIRA MARTINS-EXTENSÃO ESTABELECIMENTO PENAL FEMININO DE RIO BRILHANTE;31;31;0;6;5;0;0;1;0;19;0
2019;Rio Brilhante;EE ETALÍVIO PEREIRA MARTINS-EXTENSÃO ESTABELECIMENTO PENAL MASCULINO DE RIO BRILHANTE;35;35;0;4;18;2;0;0;0;11;0
2019;Aral Moreira;EE EUFRÁZIA FAGUNDES MARQUES;307;306;1;29;1;0;0;0;0;277;0
2019;Navirai;EE EURICO GASPAR DUTRA;1019;1003;16;136;8;0;0;0;0;872;3
2019;Aquidauana;EE FELIPE ORRO;383;371;12;89;15;0;0;0;0;279;0
2019;Tres Lagoas;EE FERNANDO CORRÊA;1448;1411;37;223;15;0;0;0;0;1210;0
2019;Rio Brilhante;EE FERNANDO CORRÊA DA COSTA;1476;1444;32;100;8;1;0;61;34;1267;5
2019;Dourados;EE FLORIANO VIEGAS MACHADO;1212;1179;33;110;10;0;0;0;0;1087;5
2019;Pedro Gomes;EE FRANCISCO RIBEIRO SOARES;517;506;11;51;9;0;0;0;0;457;0
2019;Caarapo;EE FREI JOÃO DAMASCENO;283;274;9;43;1;0;0;0;0;239;0
2019;Aparecida do Taboado;EE FREI VITAL DE GARIBALDI;942;902;40;253;23;0;0;1;0;665;0
2019;Campo Grande;EE GAL. MALAN;612;590;22;74;1;0;0;0;0;533;4
2019;Aparecida do Taboado;EE GEORGINA DE OLIVEIRA ROCHA;890;848;42;84;3;0;0;0;0;801;2
2019;Sete Quedas;EE GUIMARÃES ROSA;821;752;69;85;9;0;0;56;35;636;0
2019;Paranaiba;EE GUSTAVO RODRIGUES DA SILVA;388;386;2;383;4;0;0;0;0;0;1
2019;Campo Grande;EE HÉRCULES MAYMONE;1816;1761;55;236;27;0;0;108;44;1399;2
2019;Cassilandia;EE HERMELINA BARBOSA LEAL;843;742;101;189;39;0;0;74;103;438;0
2019;Cassilandia;EE HERMELINA BARBOSA LEAL -EXTENSÃO INDAIÁ  DO SUL;43;41;2;5;1;0;0;0;0;37;0
2019;Gloria de Dourados;EE HILDA BERGO DUARTE;573;513;60;49;18;0;0;70;69;367;0
2019;Dois Irmaos do Buriti;EE INDÍGENA CACIQUE NDETI REGINALDO;147;147;0;1;1;0;0;69;0;76;0
2019;Miranda;EE INDÍGENA CACIQUE TIMÓTEO;173;172;1;2;0;0;0;0;0;170;1
2019;Miranda;EE INDÍGENA CACIQUE VICENTE DE ALMEIDA;73;71;2;1;0;0;0;0;0;72;0
2019;Nioaque;EE INDÍGENA DE EM ANGELINA VICENTE;101;98;3;3;0;0;0;0;0;98;0
2019;Aquidauana;EE INDÍGENA DE EM PASCOAL LEITE DIAS;104;103;1;2;1;0;0;0;0;101;0
2019;Aquidauana;EE INDÍGENA DE EM PASTOR REGINALDO MIGUEL - HOYENÓ O;64;64;0;5;0;0;0;0;0;59;0
2019;Aquidauana;EE INDÍGENA DE EM PROF. DOMINGOS V. MARCOS - MIHIN;188;187;1;7;14;0;0;0;0;167;0
2019;Caarapo;EE INDÍGENA DE EM YVY POTY;376;289;87;8;0;0;0;87;15;266;0
2019;Anastacio;EE INDÍGENA GUILHERMINA DA SILVA;449;364;85;40;3;0;0;80;62;264;0
2019;Dourados;EE INDÍGENA INTERCULTURAL GUATEKA - MARÇAL DE SOUZA;743;738;5;18;27;1;41;20;15;617;4
2019;Tacuru;EE INDÍGENA JASY RENDY;125;121;4;10;2;1;0;0;0;112;0
2019;Corumba;EE INDÍGENA JOÃO Q. DE CARVALHO - TOGHOPANAÃ;51;50;1;4;0;0;0;0;0;47;0
2019;Amambai;EE INDÍGENA MBO EROY GUARANI KAIOWÁ;383;383;0;5;2;1;0;29;14;328;4
2019;Dois Irmaos do Buriti;EE INDÍGENA NATIVIDADE ALCANTARA MARQUES;159;159;0;5;0;0;0;63;9;82;0
2019;Miranda;EE INDIGENA PROF. ATANASIO ALVES;109;109;0;0;1;0;0;0;0;108;0
2019;Nova Andradina;EE IRMAN RIBEIRO DE ALMEIDA SILVA;995;964;31;100;7;0;0;226;56;606;0
2019;Batayporã;EE JAN ANTONIN BATA;768;694;74;76;0;0;0;0;0;689;3
2019;Japora;EE JAPORÃ;463;457;6;53;15;0;1;16;1;377;0
2019;Japora;EE JAPORÃ - EXTENSÃO POVOADO JACAREI;361;358;3;14;10;0;13;46;6;272;0
2019;Deodapolis;EE JOÃO BAPTISTA PEREIRA;164;158;6;26;0;0;0;0;0;138;0
2019;Ponta Pora;EE JOÃO BREMBATTI CALVOSO;1317;1301;16;127;11;0;0;0;0;1179;0
2019;Campo Grande;EE JOÃO CARLOS FLORES;832;788;44;161;20;1;0;0;0;650;0
2019;Tres Lagoas;EE JOÃO DANTAS FILGUEIRAS;1047;1008;39;155;8;0;0;0;0;884;0
2019;Bodoquena;EE JOÃO PEDRO PEDROSSIAN;467;454;13;50;4;0;0;0;0;413;0
